Countries,Higher_cost

Germany,248987631
United Kingdom,188210886
France,152811481
United States,125166569
Spain,104652559
Netherlands,101133670
Italy,90105688
Sweden,61387662
Switzerland,48615801
Portugal,39516669
Denmark,32437978
Ireland,26632872
Finland,26354769
Austria,26034183
Poland,23801681
Luxembourg,22382855
Greece,22269391
Hungary,12795007
Norway,11365024
Czech Republic,7531758
Romania,7379996
Lithuania,6855393
Japan,6281161
Latvia,5863678
Slovakia,5722416
Croatia,4601677
Philippines,4458996
Cyprus,4270554
China,3972994
Russia,3424990
Canada,3144476
Bulgaria,3117206
Slovenia,3056236
Malaysia,2981424
Estonia,2450958
Malta,2158632
Iceland,1930994
Turkey,1830592
Israel,1732636
Serbia,1515394
Palestinian Occupied Territory,1509998
India,1378993
"Korea, Republic Of",1279996
Bolivia,1259998
Mexico,959995
Ukraine,940512
Indonesia,885095
Australia,811997
United Arab Emirates,719993
Myanmar,699999
Cambodia,649998
Brazil,631992
Guatemala,629999
Argentina,605491
Vietnam,599999
Pakistan,549998
New Zealand,519995
Uruguay,513856
Jordan,499999
Thailand,462998
Bermuda,449998
Singapore,439994
Nigeria,409994
"Laos, People's Democratic Republic",399999
Kyrgyzstan,399999
Venezuela,399999
Bahamas,399999
"Tanzania, United Re Ublic Of",399999
Hong Kong,374997
The former Yugoslav Republic of Macedonia,364994
Colombia,349998
Kenya,339302
Liechtenstein,334997
Saint Marino,309998
Fiji,299999
Togo,299999
Jersey,299999
Isle Of Man,299999
Georgia,281000
Uganda,278172
"Congo, Democratic Republic Of",199999
Kazakhstan,199999
Morocco,188923
Chile,148500
Republic of Moldova,139996
Cote D'ivoire,135999
Bosnia and Herzegovina,126420
Ghana,109998
Ecuador,100000
Lebanon,99999
Qatar,99999
Armenia,84998
South Africa,75350
Barbados,74999
Sri Lanka,74998
Senegal,74998
Kosovo,66679
Zimbabwe,58000
Costa Rica,49999
Martinique,49999
Trinidad And Tobago,49999
Tunisia,45000
Dominican Republic,44484
Ethiopia,34998
Egypt,24999
Albania,24999
Monaco,24999
Nepal,24999
Panama,9999
Taiwan,9999
Iraq,9999
Dominique,9999
Netherlands Antilles,9999
Azerbaijan,9999
Montenegro,9999
Benin,9999
Belize,9999
"Syria, Arab Republic",9999
Guadeloupe,0
Kuwait,0
Cameroon,0
